;;какого пола?;сколько лет? какой возраст? возраст;расскажи про? ? кто такой?;как выглядит? какая внешность у?;характер? какой характер у? как себя ведет?;кто друзья? с кем общается?;семья? кто родители? расскажи про семью?;что умеет? какие способности у? чем занимается? где учится? кем работает? чем увлекается? какое хобби? увлечения;положительный? отрицательный? добрый? злой?;кого любит? кто нравится?;";"
Ле Тьен Ким;Ле Тьен Ким мужского пола;В 1 сезоне Ле Тьен Киму было 13 лет. Сейчас ему около 15-16 лет;Ле Тьен Ким — студент коллежа «Франсуа Дюпон». Спортсмен.;Ле Тьен Ким- высокий и спортивный парень с оливковое кожей, темно-каштановымы волосами, желтой чёлкой и тёмно-карими глазами.;"Ким — король соревнований. Любит ""брать на слабо"", что раздражает его одноклассников, которые обращаются за помощью к Аликс. Он очень уверен в себе и в своих спортивных способностях, так что большинство его вызовов связаны со спортом. 

Ким также большой фанат американского футбола и он часто ссылается на него, пытаясь понять что-то лучше. Он казалось бы смелый, однако очень боится пауков. Несмотря на то, что он иногда вспыльчивый и грубый, Ким добрый, ведь он оценил поддержку Маринетт, которая посоветовала ему признаться в любви его избраннице в эпизоде «Разлучник». Хотя она и не знала, что это Хлоя.";Ле Тьен Ким считает своими друзьями Макса Канте и Сюйппу.;Информация о том, кто входит в состав семьи Ле Тьен Кима, неизвестна;Ле Тьен Ким спортсмен, является большим фанатом американского футбола. Ким очень быстрый бегун, так как в гонке он, большую часть времени, не отставал от Аликс, которая была на роликах.;Ле Тьен Ким на стороне добра;Ранее Ле Тьен Ким был влюблен в Хлои Буржуа.;https://static.wikia.nocookie.net/ladybug/images/f/fd/L%C3%AA_Chi%E1%BA%BFn_Kim_Square.png/revision/latest?cb=20190315031751&path-prefix=ru;";"
Лила Росси ;Лила Росси женского пола;Лиле Росси около 15-16 лет;Лила Росси — ученица коллежа «Франсуа Дюпон» и второстепенный антагонист. Прибыла из Италии.;Лила Росси— итальянка среднего роста с загорелой кожей и оливково-зелёными глазами. У неё длинные каштановые волосы с прямой чёлкой, перевязанные оранжевой резинкой и две короткие пряди по бокам от лица, также перевязанные резинками. На правой руке Лила носит три браслета из ткани. Они яркие и имеют зигзагообразный узор, который разделяет цвета. Она носит коралловый кожаный жакет поверх тёмно-серого ромпера с V-образным вырезом и маленькими белыми точками. На ногах у неё светло-серые леггинсы и коричневые ботинки.;"Лила хитрая, гордая, общительная и лицемерная девушка, которая с лёгкостью заводит новые знакомства. Она любит внимание, которое иногда привлекает ложью. Девушка продолжает врать, даже если дело заходит уже дальше слов. Ей не нравится, когда кто-то получает больше внимания и признания, чем она, и не любит, когда кто-то раскрывает, что её ложь — неправда. Но в душе она довольно чувствительная, это видно, когда она плакала от стыда и обиды. 

Она очень популярная, о ней говорил весь коллеж, она привыкла, что всё внимание уделяется ей. Лила злопамятная, так как после очищения акумы она не простила Ледибаг, и, даже после мирной беседы с ней, в глубине души она жаждала мести.";Лила Росси считает своим другом Адриана Агреста, ранее непродолжительно общалась с Альей Сезер.;В семью Лила Росси входят: Мадам Росси (мать);"Лила - профессиональная лгунья, чем пользуется для повышения школьной репутации, достижения целей и завоевания сердца Адриана. Иногда она допускает ошибки, из-за чего тайное становится явным. Её жизнь такая же как и у её одноклассников (не считая Адриана и Хлои, которые богаты), но она ложью доказывает, что она ""крутая и богатая"" ради того чтобы привлекать к себе внимание одноклассников и Адриана (хотя он знает что Лила лгунья). В определённых ситуациях Лила пытается показывать себя как ""милую и не в чём не повинную девушку"" (в отличии от Хлои, которая во всю показывает себя ""наглой"" и ""дерзкой"", и при этом всём возвышая себя над другими).";Лила Росси на стороне зла;Лиле Росси нравится Адриан Агрест.;https://static.wikia.nocookie.net/ladybug/images/a/af/Lila_Rossi_Square.png/revision/latest?cb=20190315174331&path-prefix=ru;";"
Лука Куффен;Лука Куффен мужского пола;Луке Куффен около 17-18 лет;"Лука Куффен — старший брат Джулеки Куффен и сын Анарки Куффен и Джаггеда Стоуна, гитарист группы ""Банда Котят"", а также новый студент коллежа «Франсуа Дюпон», которым Маринетт интересуется. В эпизоде «Десперада» после неправильного выбора владельца Камня Чудес Ледибаг, благодаря Адриану получает Камень Змеи. C помощью браслета, в который вселяется квами по имени Сасс, он превращается в Вайпериона — супергероя со змеиной тематикой.";Лука Куффен— высокий, стройный и привлекательный подросток со светлой кожей. У него римский нос, бледно-розовые губы, светло-голубые глаза цвета морской волны и черные волосы средней длины с выкрашенными в бирюзовый цвет кончиками.;Лука игривый, обаятельный и кокетливый. Он читает эмоции людей и выражает их через музыку с помощью гитары. Парень очень добр и щедр, особенно по отношению к своим друзьям и семье, но также и к людям, которых он только что встретил, когда он подбадривает Маринетт после неожиданной встречи с ней.;Друзья Луки: Маринетт Дюпэн-Чэн, Джулека Куффен, Роуз Левилён, Милен Апрэль, Иван Брюэль, Адриан Агрест, Алья Сезер, Нино Лейф, Сасс.;В семью Лука Куффен входят: Джулека Куффен (сестра), Анарка Куффен (мать), Джаггед Стоун (отец);Лука отлично играет на своей гитаре и других музыкальных инструментах. Он особенно хорош в создании мелодий через эмоции людей. Как говорит парень, он играет на гитаре с детства. В эпизоде «Фрозер» Лука хорошо катается на коньках, а также он довольно-таки силён, раз смог поднять Маринетт при катке с лёгкостью.;Лука Куффен на стороне добра;Лука Куффен влюблен в Маринетт Дюпэн-Чэн;https://static.wikia.nocookie.net/ladybug/images/1/1b/Luka_Couffaine_Square.png/revision/latest?cb=20190324044943&path-prefix=ru;";"
Макс Канте;Макс Канте мужского пола;В 1 сезоне Максу Канте было 13 лет. Сейчас ему около 15-16 лет;Макс Канте — студент коллежа «Франсуа Дюпон». В одном из эпизодов попадает под влияние Бражника и превращается в злодея, который может контролировать огромного боевого робота, изменяющегося по уровням. В эпизоде «Стартрейн» получает Камень Лошади и становится супергероем Пегасом. Создал робота Маркова, который является его лучшим другом.;Макс Канте— невысокий темнокожий парень с кудрявыми каштановыми волосами и карими глазами. Он носит прямоугольные очки в тёмной оправе, светло-зеленую рубашку поло и коричневые клетчатые джинсы. Он также имеет подтяжки с бежевыми линиями между двумя коричневыми и серебряными пряжками, а также серо-голубые кроссовки и голубые часы на правом запястье.;Макс — геймер и любитель технологий. Он умный, особенно хорошо разбирается в математике. Парень рассчитал, с какой скоростью должен бежать Ким, чтобы тот успел столкнуться с Хлоей в эпизоде «Разлучник».;Друзья Макса: Ле Тьен Ким, Марков (его робот), Каалки. А также Маринетт Дюпэн-Чэн, Джулека Куффен, Роуз Левилён, Милен Апрэль, Иван Брюэль, Адриан Агрест, Алья Сезер, Нино Лейф,;В семью Макс Канте входят: Клоди Канте (мать);Макс любит видеоигры, увлекается наукой и технологиями. Хорошо разбирается в математике, даже создал робота.;Макс Канте на стороне добра;Информация о том, в кого влюблен Макс Канте, неизвестна;https://static.wikia.nocookie.net/ladybug/images/7/79/Max_Kant%C3%A9_Square.png/revision/latest?cb=20190315093308&path-prefix=ru;";"
Манон Шамак;Манон Шамак женского пола.;Манон Шамак 5 лет;"Манон Шамак — дочь Надьи Шамак, с которой иногда сидит Маринетт. В эпизоде ""Кукловод"", после наказания за якобы кражу куклы Маринетт, она попала под влияние Бражника и превратилась в Кукловода - злодея, который может управлять другими с помощью изображающих их кукол.";Манон Шамак - маленькая девочка со смуглой кожей. У неё тёмно-каштановые волосы, завязанные в два хвостика, один длинный и короткий, выпирающие локоны, янтарные глаза и два выпирающих передних зуба. Она носит белую футболку, фиолетовый джинсовый комбинезон с светло-фиолетовым цветочным рисунком и красные туфли с чёрными подошвами.;Манон - веселая и энергичная, но наивная девочка. Она любит веселиться и много капризничает, при этом ей не нравится, когда люди не выполняют свои обещания.;Друзья Манон это Алья Сезер и Маринетт Дюпэн-Чэн.;Надья Шамак - мама Манон.;"Манон умеет делать ""щенячьи глазки"", когда чего-то хочет.";Манон Шамак на стороне добра.;Манон Шамак пока ни в кого не влюблена.;https://static.wikia.nocookie.net/ladybug/images/d/d4/Manon_Chamack_Square.png/revision/latest?cb=20190315093852&path-prefix=ru;";"
Марианна Ленуар;Марианна Ленуар женского пола.;Возраст Марианны Ленуар неизвестен;Марианна Ленуар - давняя подруга Мастера Фу. В эпизоде «Бэквордер», чтобы наверстать упущенное время, попадает под влияние акумы и становится суперзлодеем Бэквордер.;Марианна Ленуар - низкого роста, с зелеными глазами и седыми волосами, завязанными в пучок. Марианна носит желтую рубашку с воротником и коричневый плащ. Она носит желтую брошь с символом ? (означает любовь) которую подарил ей Ван Фу.;"Марианна часто ностальгирует - она хочет повторить прошлое и наверстать упущенное время с Мастером Фу. Она уверена в себе и терпелива, так как готова признаться в своих чувствах Фу без колебаний, годами ожидая, когда он будет готов прийти к ней, в то время как она постоянно приходила в одно и то же место в Париже. 

Марианна показана очень храброй, самоотверженной и героической личностью, так как она не побоялась остаться в Париже в осаде во время Второй Мировой Войны и помочь Мастеру Фу отбиться от сопротивления, дав ему время бежать с шкатулкой. Много лет спустя она решила спрятаться, чтобы Бражник не смог использовать ее для выслеживания Фу.";Марианна познакомилась с Фу много лет назад, когда он приехал в Париж. Однако их разлучила Вторая Мировая Война. Перед тем как расстаться, Фу хотел что-то сказать ей, но Марианна велела ему рассказать всё, когда он вернется - она будет ждать его на одном и том же месте каждый день. Спустя много лет они все-таки воссоединились. Также, ее другом является Леди Баг, чью истинную личность она знает.;Информация о семье Марианны неизвестна.;Марианна обладает стратегическим мышлением и умом, понимая, что если бы она использовала свою силу как Бэквордер (Обратительница), она могла бы заставить Леди Баг привести её обратно к Мастеру Фу и шкатулке с Камнями Чудес.;Марианна Ленуар на стороне добра.;Марианна Ленуар любит Ван Фу.;https://static.wikia.nocookie.net/ladybug/images/f/f4/Marianne_Lenoir_Square.png/revision/latest?cb=20190321124551&path-prefix=ru;";"
Маринет Дюпэн-Чэн ;Маринет Дюпэн-Чэн женского пола;В 1 сезоне Маринетт Дюпэн-Чэн было 13 лет. Сейчас ей около 15-16 лет;Маринетт главная героиня мультсериала. Она учится в классе Калин Бюстье в коллеже «Франсуа Дюпон» и является представителем класса. Она очень добрая и дружелюбная девушка. Маринетт также начинающий модельер. Благодаря своим волшебным серёжкам, в которые вселяется квами по имени Тикки, она превращается в Ледибаг - супергероиню с силой удачи и созидания. В настоящее время является хранительницей шкатулки Камней Чудес.;У Маринетт голубые глаза и чёрные волосы с синими бликами, завязанные в два коротких хвостика с красной резинкой.;Маринетт милая, скромная девушка. Она довольно неуклюжая, но при этом весёлая и щедрая. Любит моду, своих друзей и семью, тайно влюблена в Адриана Агреста. Несмотря на свою дружелюбную натуру, она борется с самоуверенностью и чувством собственного достоинства. Если она попадает в опасную ситуацию, то становится очень нервной и неуклюжей. Девушке тяжело сохранять спокойствие и она начинает паниковать.;Маринет очень дружелюбна, ее друзьями являются ее одноклассники, квами и не только: Тикки, Алья Сезер, Адриан Агрест, Нино Лейф, Роуз Левилён, Джулека Куффен, Иван Брюэль, Милен Апрэль, Ле Тьен Ким, Макс Канте, Аликс Кюбдэль, Натаниэль Куртцберг, Манон Шамак, Лука Куффен, Крис Лейф, Кагами Цуруги и все квами. Притом, Алья Сезер является ее лучшей подругой и главной её советчицей во всех делах.;В семью Маринет Дюпэн-Чэн входят: Сабина Чэн (мать), Том Дюпэн (отец).;Маринетт Дюпэн-Чэн учится в классе Калин Бюстье в коллеже «Франсуа Дюпон» и является представителем класса. Маринетт имеет талант к модным дизайнам. Она зарисовывает свои идеи в блокноте и может шить вручную или с помощью машинки. Она также очень хороша в видеоиграх. По словам Адриана, она очень хорошо танцует медленный танец. Маринетт также имеет высокую стойкость и выносливость даже в её обычной форме, так как она бежит на длинные дистанции без остановки в некоторых эпизодах. Маринетт любит хомяков, она поклонница творчества Джаггеда Стоуна(рок-звезда) и Клары Россиньоль(певица, модель), влюблена в Адриана Агреста;Маринет Дюпэн-Чэн на стороне добра;Маринет Дюпэн-Чэн влюблена в Адриана Агреста;https://i.pinimg.com/564x/b4/42/b2/b442b23b3ac290fddd17d2ed5c2b984a.jpg;";"
Месье Дамокль;Месье Дамоклю мужского пола;Точный возраст Месье Дамокля неизвестен. Предположительно, ему около 60 лет;Месье Дамокль — директор коллежа «Франсуа Дюпон». В одном из эпизодов из-за раскрытия своей личности ЛедиБаг и издевательств на ТВ попадает под влияние Бражника и становится суперзлодеем Тёмным Филином.;У месье Дамокля большие густые чёрные брови. У него серые бакенбарды и борода, а усы белые. Глаза месье Дамокля янтарного цвета. Нос прямой.;Месье Дамокль серьёзный, вежливый и авторитетный, но он попадает под давление, обычно Хлои или Андре Буржуа. Так же он очень хочет быть героем, из за чего наряжается в самодельный костюм Филина, но как правило из за своей неуклюжести место решения неприятностей создает только больше. Считает, что герои не должны обманывать, и сам сдержал слово данное Леди Баг и Коту Нуару, отпустить их, если те отдадут камни чудес.;Информация о друзьях Месье Дамокля неизвестна;Информации о семье Месье Дамокля нет.;"Месье Дамокль - директор коллежа ""Франсуа Дюпон"". В свободное время переодевается в костюм супергероя Филина и помогает жителям города";Месье Дамоклю на стороне добра;Информации о том, кто нравится Месье Дамоклю, нет;https://static.wikia.nocookie.net/ladybug/images/7/76/Mr._Damocles_Square.png/revision/latest?cb=20190324045121&path-prefix=ru;";"
Милен Апрэль;Милен Апрэль женского пола;В 1 сезоне Милен Апрэль было 13 лет. Сейчас ей около 15-16 лет;Милен Апрэль — Студентка коллежа «Франсуа Дюпон». В одном из эпизодов была злодеем Ужастиком.;В Милен Апрэль янтарные глаза и светлые волосы с цветными прядями. Лицо круглое. Обычно на голове она носит розовую повязку, скрывающую половину волос. Также на ней есть синевато-сиреневая футболка с белым силуэтом голубя с Лавровой ветвью, цепочку с зелёным камнем, болотно-зелёная кофта с четырьмя значками - божьей коровкой, ромашкой, зелёным значком с изображением жёлтых наушников и бирюзовым значком с пандой, чёрные колготки и тёмно -коричневые шорты.;Милен - довольно добрая, робкая и трусливая девочка. Она артистичная и милая.;Друзья Милен: Джулека Куффен, Маринетт Дюпэн-Чэн, Иван Брюэль, Аликс Кюбдэль, Алья Сезер, Нино Лейф, Роуз Левилён, Адриан Агрест.;В семью Милен Апрэль входят: Фред Апрэль (отец);"На данный момент информации об увлечениях Милен нет. Известно только, что ей нравится песня ""Зловонный волк"".";Милен Апрэль на стороне добра;Милен Апрэль нравится Иван Брюэль.;https://static.wikia.nocookie.net/ladybug/images/2/28/4-5.png/revision/latest?cb=20191214123125&path-prefix=ru;";"
Надья Шамак;Надья Шамак женского пола.;Точный возраст Надьи неизвестен, но, вероятно, ей до 40 лет;Надья Шамак — репортёр и мать Манон.;Надья Шамак среднего роста с бледной кожей, карими глазами. У неё яркие короткие волосы цвета фуксии. Она носит пиджак цвета индиго с фиолетовыми пуговицами и подкладкой, под ним светло-фиолетовую блузку, белые джинсы, а также красные туфли. Из аксессуаров у неё есть белые часы на правом запястье и небольшой светло-бирюзовый кулон в виде цветка с пятью лепестками на золотой цепочке.;"Надья достаточно энергичная и целеустремлённая. Она любит свою работу, и старается делать её на отдачу. Зачастую она рискует своей жизнью, производя съёмки в местах, где разбушевался очередной акуманизированный злодей. Иногда же, ей приходится выполнять работу не совсем честными способами. 

Надья очень любит свою дочь - Манон, однако из-за большой загруженности на работе нечасто проводит с ней время, поэтому часто отдаёт её под присмотр Маринетт. Она не любит, когда Манон не слушается, и при её непослушании бывает весьма строга с ней.";Лучшая подруга Надьи - Сабин Чэн.;У Надьи есть дочь - Манон Шамак.;Надья обладает способностями к журналистике, и хорошо справляется со своей работой.;Надья Шамак на стороне добра.;Информация о том, кто нравится Надье Шамак, неизвестна.;https://static.wikia.nocookie.net/ladybug/images/e/e0/Nadja_Chamack_Square.png/revision/latest?cb=20190324084940&path-prefix=ru;";"
Натали Санкёр;Натали Санкёр женского пола;Точный возраст Натали неизвестен, но, вероятно, ей около 40 лет;Натали Санкёр— ассистент Габриэля Агреста, управляющая особняком и гувернантка его сына Адриана. Чтобы помочь Бражнику в сложившейся ситуации, использует Камень Павлина и квами Дуусу, чтобы стать Маюрой - суперзлодеем, способным создавать союзников акуманизированным злодеям с помощью перьев из своего веера.;Натали Санкёр среднего роста с голубыми глазами. У неё черные волосы с красной прядкой на левой стороне. Женщина завязывает свои волосы в пучок. Она немного красится. Чуть-чуть светло-фиолетовых теней для глаз и помады. Предпочитает деловой стиль одежды: очки с красной полосой, красная водолазка, чёрный костюм и такого же цвета туфли на каблуках.;"Натали очень серьёзная. У неё холодное и отчуждённое поведение и она не показывает свои эмоции другим людям. Но она может быть искренней и вежливой. Тем не менее, когда Натали имеет дело с Габриэлем, она нервничает и не уверена в себе, боясь разочаровать его. Её желание быть у него на хорошем счету приводит к плохим поступкам. Например, в ""Бабблер"" она подарила Адриану подарок от отца, хотя на самом деле это был подарок от Маринетт.";Габриэль Агрест является начальником Натали, а также ее другом.;Информация о семье Натали неизвестна.;"Натали является хорошей ассистенткой. Кроме того, в эпизоде ""Феликс"" было показано, что она владеет боевыми искусствами даже без суперкостюма.";Натали Санкёр на стороне зла;Вероятно, Натали Санкёр влюблена в Габриэля Агреста.;https://static.wikia.nocookie.net/ladybug/images/d/de/Nathalie_Sancoeur_Square.png/revision/latest?cb=20190324082545&path-prefix=ru;";"
Нино Лейф;Нино Лейф мужского пола;В 1 сезоне Нино Лейф было 13 лет. Сейчас ему около 15-16 лет;"Нино Лейф - студент коллежа ""Франсуа Дюпон"" и лучший друг Адриана Агреста. В одной из серий ЛедиБаг доверила ему Камень Черепахи и он становится супергероем Карапас с силой Защиты.";Нино Лейф - смуглый парень с янтарно-жёлтыми глазами.;"Нино веселый, восторженный, дружелюбный и сострадательный. Ему нравится быть диджеем на вечеринках и гулять с друзьями. Его описывают как «заботливого друга с сильным чувством добра и зла». Заметив, что кто-то расстроен, он делает все возможное, чтобы утешить его или подбодрить. 

Если у него есть видение чего-то, он остается преданным этому, иногда довольно упрямо. Но если дела идут не так, как он того хочет, это раздражает и расстраивает его. Нино расстраивается, если видит что-то, что считает несправедливым. Тем не менее, он недолго удерживает недовольство, и, по своему выбору или нет, он будет помогать другим, когда они просят об этом. Когда речь идет о тех, кто ему небезразличен, он смел и предан, отказываясь оставить их в «Симон говорит», где он не хотел уходить без Адриена. В «Ананси», когда он даже был готов сразиться с титульным злодеем, чтобы спасти Алью или остаться с ней, когда она заразилась в «Зомбизу».";Нино - дружелюбный студент, поэтому общается со всеми ребятами из класса. Лучшими друзьями считаются Маринетт Дюпэн-Чэн, Адриан Агрест, Вайзз и Алья Сезер, которая является его девушкой.;В семью Нино Лейф входят: Крис Лейф (младший брат);Нино - опытный ди-джей, соревнующийся со своими способностями и выходящий во второй тур передачи ''Вызов''. С помощью своего мобильного телефона он записывает видео, а в серии «Ужаситель» он снимает фильм со злодеем. Он также хорошо разбирается в киносъемках и съемочной группе, отмечая, что сотовые телефоны обычно не работают в фильмах ужасов в «Ужасе», и упоминает голливудского режиссера Стивена Басилберга в «Вольпине».;Нино Лейф на стороне добра;Ранее Нино нравилась Маринетт Дюпэн-Чэн, но сейчас влюблен в Алью Сезер, которая является его девушкой;https://static.wikia.nocookie.net/ladybug/images/1/10/Nino_Lahiffe_Square.png/revision/latest?cb=20190816102632&path-prefix=ru;";"
Одри Буржуа;Одри Буржуа женского пола.;Возраст Одри Буржуа неизвестен, но, возможно, ей около 40 лет;Одри Буржуа — известный модный критик и мать Хлои. Впервые Одри появилась в воспоминании Хлои из детства. В нём Одри покидает грустную девочку с чемоданом в руке. Два раза она становилась злодейкой Стайл Квин, способной превращать людей в золотые статуи, и один раз Пожирательницей любви. Большую часть времени живет в Нью-Йорке.;У Одри Буржуа светлые волосы, подстриженные под каре. Она одета в чёрно-белый ромпер с открытыми плечами. Руки закрыты длинными белыми перчатками по локоть. На ногах туфли с высоким жёлтым каблуком. На голове чёрная шляпа с широкими полями.;"По своему характеру Одри Буржуа — повзрослевшая версия Хлои: привередливая, крайне эгоистичная и заносчивая, иногда даже не может вспомнить имя своей дочери и не стесняется в своих выражениях (открыто назвала Хлою бездарной; её любимые фразы: «Ты уволен!» и «Неприемлемо! Абсолютно неприемлемо!»).";Информация о друзьях Одри Буржуа неизвестна. Она иногда общается с Габриэлем Агрестом по работе.;Одри Буржуа замужем за Андре Буржуа, имеет дочерей Зои и Хлою Буржуа.;Одри Буржуа - известный модный критик.;Одри Буржуа на стороне добра.;Информация о том, кто нравится Одри Буржуа, неизвестна.;https://static.wikia.nocookie.net/ladybug/images/d/d3/2ee51971832fb0ff61fd42f39e36517b.jpg/revision/latest?cb=20200122153916&path-prefix=ru;";"
Принц Али;Принц Али мужского пола.;Принцу Али примерно 14-16 лет;Принц Али — наследник престола королевства Ковар.;Принц Али - подросток со смуглой кожей, тёмными волосами и глазами цвета светлой болотистой зелени. Он носит белую рубашку под светло-серым жилетом с рисунком, а поверх - серый пиджак, в левом кармане которого лежит белый носовой платок. Также он носит тёмно-зелёный галстук, серые брюки и чёрные ботинки.;Принц Али добрый и весёлый. Из-за его королевской власти он должен держаться царственно и находиться в безопасности, что ему даётся трудно, тем более, что он действительно любит делать то, что он, как правило, возможности видеть и делать не имеет.;Принца Али почти всегда видели с его сопровождающей. Тем не менее, он использует всякий раз, когда она не около него, чтобы сделать что-то, что она не планировала и не одобряет. В одном из эпизодов познакомился с Роуз, и после ее комплимента Али просит девушку сопровождать его в детскую больницу.;Информации о составе семьи Принца Али нет. Известно, что он - потомок королевской семьи.;Информация об увлечениях и способностях Принца Али неизвестна.;Принц Али на стороне добра.;Информация о том, кто нравится Принцу Али, неизвестна;https://static.wikia.nocookie.net/ladybug/images/b/bd/Prince_Ali_Square.png/revision/latest?cb=20190323052433&path-prefix=ru;";"
Рождер Ренкомпри;Роджер Ренкомпри мужского пола.;Точный возраст Роджера неизвестен, возможно, ему около 40 лет;Роджер Ренкомпри — полицейский и отец Сабрины. В эпизоде «Робокоп» он попал под влияние Бражника и превратился в Робокопа - злодея робота-полицейского.;Роджер Ренкомпри - добродушный толстяк. У него рыжие волосы и брови, зелёные глаза и крючковатый нос. Он носит синюю полицейскую форму: кепку с белой надписью «Police», синюю футболку с одной широкой и двумя узкими голубыми полосами и тёмно-синие брюки. Также у него на правом запястье - золотой браслет, а на левом - коричневый. В эпизоде «Робокоп» у него висит свисток на шее.;Роджер - очень преданный полицейский, он твёрдо убеждён, что все невиновны, пока не будет доказано обратное. Он довольно строг и гордится тем, что полицейские способны справляться с разными ситуациями без помощи Ледибаг, как было в эпизоде «Копикэт». Однако, когда Роджер не занят своей работой, он дружелюбен, любит свою дочь и хорошо относится к другим людям.;Информация о друзьях Роджера неизвестна.;Сабрина Ренкомпри является дочерью Роджера Ренкомпри.;Роджер - полицейский Парижа.;Роджер Ренкомпри на стороне добра.;Информация о том, кого любит Роджер неизвестна.;https://static.wikia.nocookie.net/ladybug/images/a/ab/Roger_Raincomprix_Square.png/revision/latest/scale-to-width-down/350?cb=20190315025011&path-prefix=ru;";"
Роуз Левилён;Роуз Левилён женского пола;В 1 сезоне Роуз Левилён было 13 лет. Сейчас ей около 15-16 лет;Роуз Левилён — студентка коллежа «Франсуа Дюпон», одноклассница Маринетт и солистка «Банды Котят».;Роуз Левилён хрупкая, невысокая блондинка с прямыми короткими волосами и огромными голубыми глазами. Она носит рубашку со светло-розовыми рукавами и малиновыми полосками. Сзади рубашки есть рисунок в виде крыльев. Девушка также носит малиновую мини-юбку с белыми леггинсами и розовыми балетками. На правой руке - два розовых браслета.;Роуз милая и наивная. С позитивными взглядами на жизнь Роуз заботится обо всех вокруг и любит помогать им. Ее доброта иногда может навредить ей. К примеру, когда Времеход обманула девушку и забрала её жизненные силы в одноимённом эпизоде. Или когда Хлоя надменно порвала письмо, которое Роуз попросила передать принцу Али. По её словам, Роуз думает только о других, нежели о себе.;Роуз любит абсолютно всех своих одноклассников, кроме Хлои Буржуа. Своей лучшей подругой Роуз называет Джулекку Куффен, также хорошо общается с девочками своего класса - Маринетт Дюпэн-Чэн, Альей Сезер, Милен Апрэль и Аликс Кюбдэль.;Информации о составе семьи Роуз Левилён нет.;Информация об увлечениях и способностях Роуз Левилён неизвестна.;Роуз Левилён на стороне добра;Роуз Левилён влюблена в Принца Али.;https://static.wikia.nocookie.net/ladybug/images/a/a8/Rose_Lavillant_Square.png/revision/latest?cb=20190315132820&path-prefix=ru;";"
Сабин Чэн;Сабин Чэн женского пола;Сабине Чэн около 40 лет;Сабин Чэн — мать Маринетт, жена Тома Дюпэна.;Сабин Чэн - невысокая китаянка. У нее тёмно-синие подстриженные под каре волосы с уложенной на правую сторону чёлкой и серые глаза. На ней обычно одета укороченная ципао с рукавом в 3/4 белого цвета, с цветочным жёлто-красным рисунком и чёрной отделкой, традиционные китайские ярко-сиреневые штаны и чёрные тапки с белыми носками.;Сабин Чэн добрая и искренняя, очень любит своего мужа и дочку, но может и заставить сделать то, что нужно - шантажом, как это показано в серии Бабблер.;Своим другом Сабин считает Надью Шамак.;В семью Сабин Чэн входят: Том Дюпэн (муж), Маринет Дюпэн-Чэн (дочь), Ван Чэн (дядя), Джина Дюпэн (свекровь), Роланд Дюпэн (свекор);Сабин помогает своему мужу в пекарне.;Сабин Чэн на стороне добра;Сабин Чэн любит Тома Дюпэна.;https://static.wikia.nocookie.net/ladybug/images/6/67/Sabine_Cheng_Square.png/revision/latest?cb=20190322124030&path-prefix=ru;";"
Сабрина Ренкомпри;Сабрина Ренкомпри женского пола;В 1 сезоне Сабрине Ренкомпри было 13 лет. Сейчас ей около 15-16 лет;"Сабрина Ренкомпри — студентка коллежа «Франсуа Дюпон» и ""лучшая подруга"" Хлои.";У Сабрины Ренкомпри рыжие волосы и бирюзовые глаза. Она носит очки в роговой оправе, а на голове - белый ободок. Её верх состоит из белой рубашки с длинными рукавами, чёрного бантика на воротнике и безрукавки в сиренево-бирюзово-фиолетовый ромбик. На ногах у неё черно-зелёные колготки, туфли и бирюзовые шорты.;"Сабрина довольно тихая и послушная. Она покорная, нерешительная, не умеет сказать ""нет"". Правда, в серии «Художник» она обрадовалась, что Маринетт защитила её от Хлои, но позже разозлилась, когда Маринетт отказалась делать с ней проект из-за множества дел. Однако иногда она может быть и довольно суровой и мстительной. В серии «Антибаг» Сабрина забрасывает Хлою одеждой и всячески вредит ей. Однако, это, скорее всего, вызвано влиянием акумы.";Сабрина называет Хлою Буржуа своей лучшей подругой, выполняет все ее приказы, даже если это вредит окружающим. Также Сабрина в одно время дружила с Маринетт Дюпэн-Чэн.;В семью Сабрины Ренкомпри входят: Агент Роджер (отец);"Сабрина умна и трудолюбива, так как может закончить как свою домашнюю работу, так и домашнюю работу Хлои вовремя. Она знает правила своей школы, отмечая, что кража студентом приводит к одной неделе отстранения от занятий. 

Она может быть очень скрытной, заманивая Джулеку в туалетную кабинку и закрывая её стулом в эпизоде ""Рефлекта"" и тайно фотографируя дизайн шляпы дерби Маринетт в эпизоде ""Месье Голубь"".";Сабрина Ренкомпри на стороне добра;Информация о том, в кого влюблена Сабрина, неизвестна.;https://static.wikia.nocookie.net/ladybug/images/3/3c/Sabrina.png/revision/latest?cb=20190506190712&path-prefix=ru;";"
